,ADD_DATE,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DEMO MATERIAL,DIRT ,"DIRT,GRAVEL",DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",GRAVEL,HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LANDSCAPE MATERIAL,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OIL/FUEL/HYDR FLUID,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,PULPWOOD,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
10,03-APR-02,False,,C,False,False,False,,NATURECARE,,,,1016618,False,6,RITA@NATURECARE-LANDSCAPE.COM,False,,False,,False,False,,N,False,0,0,0,0,0,0,False,True,NATURECARE LLC,False,False,,0,0,0,0,0,0,0,0,0,,CUMMING,US,GA,4444 TWIN LAKES ROAD,30040,10-MAR-22,1000,2021.0,False,,False,False,0,0,0,0,0,0,8,GA,False,,False,False,False,N,CUMMING,US,GA,4444 TWIN LAKES ROAD,30040,,1000,2021,False,0,0,0,0,0,0,0,0,0,8,0,0,(678) 947-0385,0,0,0,0,0,0,False,False,7110,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
11,03-APR-02,False,,C,False,False,False,,,,,,1016620,False,4,,False,,False,,False,False,,N,False,0,0,0,0,0,0,False,,DUNCAN CREEK FARMS INC,False,False,True,0,0,0,0,0,0,0,0,0,,BLOOMER,US,WI,8362 207TH AVENUE,54724-6130,09-JUN-05,9000,2004.0,False,,False,False,0,0,0,0,0,0,2,WI,False,,False,False,False,N,BLOOMER,US,WI,8362 207TH AVENUE,54724-6130,,0,0,False,0,0,0,0,0,0,0,0,0,2,0,0,(715) 568-2722,1,0,0,0,0,0,False,False,7111,,0,0,0,0,0,0,False,False,False,False,False,False,False
12,03-APR-02,False,True,C,False,False,False,,,,,,1016621,False,7,,False,(801) 265-1753,False,,False,False,,N,False,0,0,0,0,0,0,False,,SWIM CLEAN,False,False,,0,0,0,0,0,0,0,0,0,,SALT LAKE CITY,US,UT,66 E 3750 S,84115,03-APR-02,0,,False,,False,False,0,0,0,0,0,0,7,UT,False,,False,False,False,N,SALT LAKE CITY,US,UT,66 E 3750 S,84115,,0,0,False,0,0,0,0,0,0,0,0,0,7,0,0,(801) 265-1707,3,0,0,0,0,0,False,False,7112,,0,0,0,0,0,0,False,False,False,False,False,False,False
13,03-APR-02,False,,C,False,False,False,,BIRCH HILL FARM,,,,1016628,False,1,,False,,False,,False,True,,N,False,0,0,0,0,0,0,False,,GERALD POLSTER,False,False,,0,0,0,0,0,0,0,0,0,,FISH CREEK,US,WI,N8290 LONGVIEW ROAD,54212,26-JAN-01,1000,2000.0,False,,False,False,0,0,0,0,0,0,1,WI,False,,False,False,False,N,FISH CREEK,US,WI,N8290 LONGVIEW ROAD,54212,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,(920) 839-2443,0,0,0,0,0,0,False,False,7113,,0,0,0,0,0,0,False,False,False,False,False,False,False
14,03-APR-02,False,,C,False,False,False,,,,,,1016629,False,2,,False,(801) 796-5679,False,,False,False,,N,False,0,0,0,0,0,0,False,,SAGE CONTRACTING,False,False,,0,0,0,0,0,0,0,0,0,,OREM,US,UT,51 W CENTER ST #415,84057,03-APR-02,0,,False,,False,True,0,0,0,0,0,0,1,UT,False,,False,False,False,N,PLEASANT GROVE,US,UT,655 W 220 S #20,84062,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,(801) 420-3607,1,0,0,0,0,0,False,False,7114,,0,0,0,0,0,0,False,False,False,False,False,False,False
15,03-APR-02,False,,A,False,False,False,,,,,,1016632,False,1,HARVEYSTRUCKINGLLC77@GMAIL.COM,False,,False,,True,False,,N,False,0,0,0,0,0,0,False,,HARVEY TRUCKING LLC,False,False,,0,0,0,0,0,0,0,0,0,,BELZONI,US,MS,4668 STATE HWY 12 WEST,39038,14-FEB-22,10000,2021.0,False,,False,False,0,0,0,0,0,0,1,MS,False,,False,False,False,N,BELZONI,US,MS,4668 STATE HWY 12 WEST,39038,,10000,2021,False,0,0,0,0,0,0,0,0,0,0,0,0,(662) 452-3404,1,0,0,1,0,0,False,False,7115,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
16,03-APR-02,False,,C,False,False,False,,DEAN L SORENSON,,,,1016633,False,1,,False,(801) 785-6878,False,,True,False,,N,False,0,0,0,0,0,0,False,,SORENSON DEAN L,False,False,,0,0,0,0,0,0,0,0,0,,AMERICAN FORK,US,UT,PO BOX 402,84003,03-APR-02,0,,False,,False,False,0,0,0,0,0,0,1,UT,False,,False,False,False,N,HIGHLAND,US,UT,5290 W 10480 N,84003,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,(801) 785-7270,0,0,0,0,0,0,False,False,7116,,0,0,0,0,0,0,False,False,False,False,False,False,False
17,03-APR-02,False,,C,False,False,False,,POTLUCK TRANSFER,,,True,1016635,False,1,POTLUCKPIANO@GMAIL.COM,False,,False,,False,False,,N,False,0,0,0,0,0,0,False,,PETER J NEHLSEN,False,False,,0,0,0,0,0,0,0,0,0,,WASHINGTON ISLAND,US,WI,1141 OLD WEST HARBOR RD,54246,18-MAY-22,5000,2021.0,False,,False,False,0,0,0,0,0,0,1,WI,False,,False,False,False,N,WASHINGTON ISLAND,US,WI,1141 OLD WEST HARBOR RD,54246,,5000,2021,False,0,0,0,0,0,0,0,0,0,1,0,0,(920) 535-0108,0,0,0,0,0,0,False,False,7117,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
18,03-APR-02,False,,C,False,False,False,,ATI,,,,1016636,False,2,,False,(801) 977-8094,False,,True,False,,N,False,0,0,0,0,0,0,False,,L WAYNE ANDERSON JR,False,False,,0,0,0,0,0,0,0,0,0,,SALT LAKE CITY,US,UT,PO BOX 271433,84127,03-APR-02,0,,False,,False,False,0,0,0,0,0,0,1,UT,False,,False,False,False,N,WEST VALLEY CITY,US,UT,3203 S REDWOOD RD,84119,,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,(801) 599-8947,1,0,0,1,0,0,False,False,7118,,0,0,0,0,0,0,False,False,False,False,False,False,False
19,03-APR-02,False,,C,False,False,False,,BLOOMER FARM PRODUCTS CO,,,,1016637,False,4,,False,,False,,False,True,,N,False,0,0,0,0,0,0,False,,BLOOMER MILL,False,False,,0,0,0,0,0,0,0,0,0,,CHIPPEWA,US,WI,1401 OAK STREET,54724,15-JAN-01,40000,2000.0,False,,False,False,0,0,0,0,0,0,4,WI,False,,False,False,False,N,CHIPPEWA,US,WI,1401 OAK STREET,54724,,0,0,False,0,0,0,0,0,0,0,0,0,4,0,0,(715) 568-1140,0,0,0,0,0,0,False,False,7119,,0,0,0,0,0,0,False,False,False,False,False,False,False
20,03-APR-02,False,,C,False,False,False,,ANDERSON TREE KLIPPING DOZER LLC,,,,1016639,False,2,ANDERSONJOHNSONDOZ@SBCGLOBAL.NET,False,(620) 325-2585,False,,False,False,,N,False,0,0,0,0,0,0,False,,TERRY ANDERSON,False,False,,0,0,0,0,0,0,0,0,0,True,NEODESHA,US,KS,1812 N 7TH,66757,22-JAN-08,0,,False,,False,False,0,0,0,0,0,0,1,KS,False,,False,False,False,N,NEODESHA,US,KS,1812 N 7TH,66757,,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,(620) 325-3437,1,0,0,1,0,0,False,False,7120,,0,0,0,0,0,0,False,False,False,False,False,False,False
21,03-APR-02,False,,C,False,False,False,,MARIN FARMS,,,,1016643,False,1,,False,,False,,False,False,,N,False,0,0,0,0,0,0,False,,WILLIAM S MARIN,False,False,,0,0,0,0,0,0,0,0,0,True,STURGEON BAY,US,WI,1573 SCHOOL ROAD,54235-8602,05-APR-05,4000,2004.0,False,,False,False,0,0,0,0,0,0,2,WI,False,,False,False,False,N,STURGEON BAY,US,WI,1573 SCHOOL ROAD,54235-8602,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,(920) 856-6586,2,0,0,1,0,0,False,False,7121,,0,0,0,0,0,0,False,False,False,False,False,False,False
22,03-APR-02,False,,C,False,False,False,,,,,,1016644,False,1,,False,,False,,False,False,,N,False,0,0,0,0,0,0,False,,ORVILLE KAY,False,False,,0,0,0,0,0,0,0,0,0,True,FORESTVILLE,US,WI,1010 CURVE ROAD,54213-9712,05-APR-05,4000,2004.0,False,,False,False,0,0,0,0,0,0,2,WI,False,,False,False,False,N,FORESTVILLE,US,WI,1010 CURVE ROAD,54213-9712,,0,0,False,0,0,0,0,0,0,0,0,0,2,0,0,(920) 856-6638,1,0,0,0,0,0,False,False,7122,,0,0,0,0,0,0,False,False,False,False,False,False,False
23,03-APR-02,False,,A,False,False,False,,,,,,1016645,False,1,RBSPENCER2000@YAHOO.COM,False,,False,,True,False,,N,False,0,0,0,0,0,0,False,,THOMAS SPENCER TRUCKING LLC,False,False,,0,0,0,0,0,0,0,0,0,,ANTIGO,US,WI,N1667 OLD 26 ROAD,54409-2496,20-MAR-20,91043,2019.0,False,,False,False,0,0,0,0,0,0,1,WI,False,,False,False,False,N,ANTIGO,US,WI,N1667 OLD 26 ROAD,54409-2496,,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,(715) 627-2198,3,0,0,1,0,0,False,False,7123,,0,0,0,0,0,0,False,False,False,False,False,False,False
24,03-APR-02,False,,A,False,False,False,,WARREN FLANAGAN TRUCKING,,,,1016651,False,1,DEBRAO4@CITLINK.NET,False,(304) 496-7570,False,,True,False,,N,False,0,0,0,0,0,0,False,,WARREN FLANAGAN,False,False,,0,0,0,0,0,0,0,0,0,,AUGUSTA,US,WV,73 SEPTEMBER LN,26704-5248,23-FEB-21,58789,2020.0,False,,False,False,0,0,0,0,0,0,1,WV,False,,False,False,False,N,AUGUSTA,US,WV,73 SEPTEMBER LN,26704-5248,,58789,2020,False,0,0,0,0,0,0,0,0,0,0,0,0,(304) 496-7570,0,0,0,1,0,0,False,False,7124,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
25,03-APR-02,False,True,C,False,False,False,,,,,,1016653,False,1,,False,(920) 474-7583,False,,False,False,,N,False,0,0,0,0,0,0,False,,KEVIN BARNINGHAM TRUCKING LLC,False,False,,0,0,0,0,0,0,0,0,0,,NEOSHO,US,WI,N2083 JEFFERSON ROAD,53059-9730,02-APR-02,0,,False,,False,False,0,0,0,0,0,0,1,WI,False,,False,False,False,N,NEOSHO,US,WI,N2083 JEFFERSON ROAD,53059-9730,,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,(920) 474-7581,2,0,0,1,0,0,False,False,7125,,0,0,0,0,0,0,False,False,False,False,False,False,False
26,03-APR-02,False,,C,False,False,False,,,,,,1016655,False,2,HOPE12398@DDELPHIA.NET,False,,False,,True,False,,N,False,0,0,0,0,0,0,False,,AESTHETIC LAWN & LANDSCAPE LLC,False,False,,0,0,0,0,0,0,0,0,0,,CUMMING,US,GA,PO BOX 192,30028,,53000,2001.0,False,,False,False,0,0,0,0,0,0,2,GA,False,,False,False,False,N,CUMMING,US,GA,104 GREENWOOD ACRES DRIVE,30040,,0,0,False,0,0,0,0,0,0,0,0,0,2,0,0,(770) 205-7419,0,0,0,0,0,0,False,False,7126,,0,0,0,0,0,0,False,False,False,False,False,False,False
27,03-APR-02,False,,C,False,False,False,,BSI,,,,1016657,False,1,,False,(212) 956-6471,False,,False,False,,N,False,0,0,0,0,0,0,False,,40 BELOW SUMMER INC,False,False,,0,0,0,0,0,0,0,0,0,,NEW YORK,US,NY,111 W 57TH ST SUITE 1120,10019,05-JUL-05,0,,False,,False,False,0,0,0,0,1,0,1,NY,False,,False,False,True,Y,NEW YORK,US,NY,111 W 57TH ST SUITE 1120,10019,,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,(212) 245-4580,0,0,0,0,0,0,False,False,7127,,0,0,0,0,0,0,False,False,False,False,False,False,False
28,03-APR-02,False,,C,False,False,False,,,,,,1016658,False,5,BATESBLDGMATLS@AOL.COM,False,,False,,False,False,,N,False,0,0,0,0,0,0,False,,BATES BUILDING MATERIALS INC,False,False,True,0,0,0,0,0,0,0,0,0,,CANTON,US,GA,5087 CUMMING HWY,30114,,140000,2001.0,False,,False,False,0,0,0,0,0,0,6,GA,False,,False,False,False,N,CANTON,US,GA,5087 CUMMING HWY,30114,,0,0,False,0,0,0,0,0,0,0,0,0,6,0,0,(770) 479-1821,0,0,0,0,0,0,False,False,7128,,0,0,0,0,0,0,False,False,False,False,False,False,False
29,03-APR-02,False,,C,False,False,False,,,,,,1016659,False,3,CATESSCRAPMETAL@BELLSOUTH.NET,False,(270) 383-5799,False,,True,False,,N,False,0,0,0,0,0,0,False,,CATES AUTO PARTS & SALES INC,False,False,,0,0,0,0,0,0,0,0,0,,MADISONVILLE,US,KY,PO BOX 416,42431,25-MAY-21,100000,2020.0,False,,False,False,0,0,0,0,0,0,2,KY,False,,False,False,False,N,MADISONVILLE,US,KY,1876 HUBERT REID RD,42431,,100000,2020,False,0,0,0,0,0,0,0,0,0,2,0,0,(270) 821-5456,0,0,0,0,0,0,False,False,7129,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
30,03-APR-02,False,,C,False,False,False,,KARSTEN FARMS,,,,1016661,False,1,,False,,False,,False,False,,N,False,0,0,0,0,0,0,False,,BRUCE A KARSTEN,False,True,,0,0,0,0,0,0,0,0,0,,STURGEON BAY,US,WI,5675 SILVERDALE ROAD,54235-8308,14-APR-05,10000,2004.0,False,,False,False,0,0,0,0,0,0,2,WI,False,,False,False,False,N,STURGEON BAY,US,WI,5675 SILVERDALE ROAD,54235-8308,,0,0,False,0,0,0,0,0,0,0,0,0,2,0,0,(920) 746-0534,1,0,0,0,0,0,False,False,7130,,0,0,0,0,0,0,False,False,False,False,False,False,False
31,03-APR-02,False,True,C,False,False,False,,,,,,1016662,False,4,,False,,False,,False,False,,N,False,0,0,0,0,0,0,False,,METRO WASTE SERVICES LLC,False,False,,0,0,0,0,0,0,0,0,0,,MARIETTA,US,GA,PO BOX 669934,30066,,0,,False,,False,False,0,0,0,0,0,0,2,GA,False,,False,False,False,N,ATLANTA,US,GA,94 MILTON AVE,30315,,0,0,False,0,0,0,0,0,0,0,0,0,0,2,0,(404) 622-0527,0,0,0,0,0,0,False,False,7131,,0,0,0,0,0,0,False,False,False,False,False,False,False
32,03-APR-02,False,,C,False,False,False,,,,,,1016665,False,2,,False,,False,,False,True,,N,False,0,0,0,0,0,0,False,,WAYNE L & KEVIN W HARMANN,False,False,,0,0,0,0,0,0,0,0,0,,STURGEON BAY,US,WI,4149 BAY SHORE DRIVE,54235,24-JAN-01,0,,False,,False,False,0,0,0,0,0,0,1,WI,False,,False,False,False,N,STURGEON BAY,US,WI,4149 BAY SHORE DRIVE,54235,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,False,False,7132,,0,0,0,0,0,0,False,False,False,False,False,False,False
33,03-APR-02,False,,C,False,False,False,,,,,,1016668,False,1,,True,,False,,False,False,,N,False,0,0,0,0,0,0,False,,CHARLES J BECKER,False,False,,0,0,0,0,0,0,0,0,0,,STURGEON BAY,US,WI,3545 MAY ROAD,54235,24-JAN-01,2000,2000.0,False,,False,False,0,0,0,0,0,0,1,WI,False,,False,False,False,N,STURGEON BAY,US,WI,3545 MAY ROAD,54235,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,(920) 743-8144,0,0,0,0,0,0,False,False,7133,,0,0,0,0,0,0,False,False,False,False,False,False,False
